park	recreational_visits	non_recreational_visits	recreational_hours	non_recreational_hours	concessioner_lodging	concessioner_camping	tents_overnight	rv_overnights	backcountry_overnights	non_recreational_overnights	misc_overnights
Klondike Gold Rush NHP Seattle	"84,759"	0	"148,329"	0	0	0	0	0	0	0	0
Knife River Indian Villages NHS	"11,644"	974	"15,232"	487	0	0	0	0	0	0	0
Kobuk Valley NP	"15,500"	"7,750"	"50,900"	"62,000"	0	0	0	0	"7,050"	"7,100"	0
Korean War Veterans Memorial	"4,155,947"	0	"2,077,973"	0	0	0	0	0	0	0	0
Lake Chelan NRA	"38,464"	0	"503,701"	0	"8,420"	0	0	0	"6,293"	0	0
Lake Clark NP & PRES	"22,755"	0	"203,866"	0	0	0	0	0	"7,198"	0	0
Lake Mead NRA	"7,882,339"	"285,887"	"60,230,295"	"1,715,326"	"22,339"	"97,883"	"114,831"	"146,147"	"157,974"	0	"57,181"
Lake Meredith NRA	"1,329,076"	0	"3,891,715"	0	0	0	"11,385"	"48,701"	0	0	0
Lake Roosevelt NRA	"1,304,403"	"1,200"	"4,203,039"	600	"4,420"	"3,470"	"38,885"	"45,394"	"2,944"	0	"10,938"
Lassen Volcanic NP	"507,256"	0	"5,467,248"	0	"5,575"	0	"56,772"	"29,730"	"6,724"	0	"16,614"
Lava Beds NM	"135,286"	771	"510,433"	381	0	0	"11,367"	"2,734"	41	0	208
LBJ Memorial Grove on the Potomac	"277,403"	0	"138,702"	0	0	0	0	0	0	0	0
Lewis & Clark NHP	"293,356"	826	"445,586"	207	0	0	0	0	0	0	0
Lincoln Boyhood NMEM	"143,651"	"16,200"	"161,609"	"2,700"	0	0	0	0	0	0	0
Lincoln Home NHS	"232,265"	"6,482"	"205,831"	"53,648"	0	0	0	0	0	0	0
Lincoln Memorial	"7,956,117"	0	"3,978,059"	0	0	0	0	0	0	0	0
Little Bighorn Battlefield NM	"296,128"	"2,580"	"296,128"	"1,288"	0	0	0	0	0	0	0
Little River Canyon NPRES	"367,058"	0	"964,562"	0	0	0	0	0	0	0	0
Little Rock Central High School NHS	"170,413"	0	"170,413"	0	0	0	0	0	0	0	0
Longfellow NHS	"51,606"	0	"77,411"	0	0	0	0	0	0	0	0
Lowell NHP	"562,498"	"2,465"	"847,488"	"3,698"	0	0	0	0	0	0	0
Lyndon B. Johnson NHP	"146,119"	0	"240,970"	0	0	0	0	0	0	0	0
Maggie L. Walker NHS	"10,738"	0	"16,107"	0	0	0	0	0	0	0	0
Mammoth Cave NP	"587,853"	"136,017"	"3,497,245"	"68,007"	"10,791"	0	"42,732"	"16,000"	"3,753"	0	"4,191"
Manassas NBP	"605,577"	480	"454,185"	84	0	0	0	0	0	0	0
Manhattan Project NHP	"89,599"	268	"103,972"	"1,072"	0	0	0	0	0	0	0
Manzanar NHS	"114,461"	0	"171,690"	0	0	0	0	0	0	0	0
Marsh-Billings-Rockefeller NHP	"46,523"	0	"93,046"	0	0	0	0	0	0	0	0
"Martin Luther King, Jr. Memorial"	"3,651,093"	0	"1,825,547"	0	0	0	0	0	0	0	0
"Martin Luther King, Jr. NHS"	"584,435"	0	"917,583"	0	0	0	0	0	0	0	0
Martin Van Buren NHS	"22,023"	720	"22,346"	180	0	0	0	0	0	0	0
Mary McLeod Bethune Council House NHS	277	0	554	0	0	0	0	0	0	0	0
Mesa Verde NP	"613,788"	"9,012"	"4,000,241"	"9,012"	"21,822"	0	"29,879"	"16,808"	0	0	279
Minidoka NHS	"11,622"	0	"14,313"	0	0	0	0	0	0	0	0
Minute Man NHP	"1,023,921"	0	"1,535,882"	0	0	0	0	0	0	0	0
Minuteman Missile NHS	"143,715"	0	"80,435"	0	0	0	0	0	0	0	0
Mississippi NRRA	"436,734"	0	"728,684"	0	0	0	0	0	0	0	0
Missouri NRR	"119,816"	0	"119,816"	0	0	0	0	0	0	0	0
Mojave NPRES	"716,604"	0	"4,315,908"	0	0	0	616	741	0	0	0
Monocacy NB	"113,820"	0	"170,730"	0	0	0	0	0	0	0	0
Montezuma Castle NM	"398,174"	0	"398,174"	0	0	0	0	0	0	0	0
Moores Creek NB	"86,747"	0	"59,923"	0	0	0	0	0	317	0	0
Morristown NHP	"268,295"	0	"762,953"	0	0	0	0	0	0	0	0
Mount Rainier NP	"1,415,867"	"631,035"	"16,870,540"	"631,035"	"29,798"	0	"74,721"	"29,400"	"55,333"	0	"9,674"
Mount Rushmore NMEM	"2,437,800"	"852,820"	"3,209,754"	"284,270"	0	0	0	0	0	0	0
Muir Woods NM	"1,062,099"	0	"1,415,778"	0	0	0	0	0	0	0	0
Natchez NHP	"233,339"	0	"475,822"	0	0	0	0	0	0	0	0
Natchez Trace PKWY	"6,326,062"	"8,757,308"	"25,484,536"	"8,757,308"	0	0	"5,835"	"10,554"	0	0	0
National Capital Parks Central	"1,932,762"	0	"1,273,831"	0	0	0	0	0	0	0	0
National Capital Parks East	"1,366,142"	"32,509,606"	"2,357,736"	"21,129,597"	0	0	0	0	0	0	0
National Park of American Samoa	"69,468"	0	"138,934"	0	0	0	0	0	0	0	0
Natural Bridges NM	"107,443"	800	"618,150"	400	0	0	"4,023"	"3,376"	0	0	0
Navajo NM	"68,785"	"17,540"	"184,653"	"4,386"	0	0	"2,289"	"1,848"	230	0	246
New Bedford Whaling NHP	"166,894"	0	"88,042"	0	0	0	0	0	0	0	0
New Orleans Jazz NHP	"40,814"	0	"90,095"	0	0	0	0	0	0	0	0
New River Gorge NR	"1,168,658"	"2,400"	"2,549,521"	"4,800"	0	0	"4,782"	945	0	0	0
Nez Perce NHP	"238,424"	"1,800"	"224,348"	180	0	0	0	0	0	0	0
Nicodemus NHS	"2,916"	0	"2,916"	0	0	0	0	0	0	0	0
Ninety Six NHS	"113,103"	0	"141,379"	0	0	0	0	0	0	0	0
Niobrara NSR	"80,806"	0	"629,165"	0	0	0	0	0	0	0	0
Noatak NPRES	"17,000"	"8,500"	"215,000"	"68,000"	0	0	0	0	"5,500"	"5,650"	0
North Cascades NP	"30,326"	0	"607,202"	0	0	0	0	0	"26,081"	0	0
Obed W&SR	"214,783"	"10,800"	"915,636"	900	0	0	"8,175"	0	229	0	0
Ocmulgee NM	"156,907"	0	"235,360"	0	0	0	0	0	0	0	0
Olympic NP	"3,401,996"	"777,419"	"17,876,205"	"310,633"	"73,705"	"12,473"	"178,359"	"76,186"	"122,678"	0	138
Oregon Caves NM	"72,212"	520	"298,022"	"1,040"	"5,087"	0	0	0	0	0	0
Organ Pipe Cactus NM	"260,534"	"1,193,054"	"708,288"	"596,527"	0	0	"5,688"	"20,133"	87	0	115
Ozark NSR	"1,165,296"	0	"2,755,365"	0	46	0	"44,128"	"12,272"	"7,663"	0	"21,133"
Padre Island NS	"650,197"	"1,800"	"4,533,248"	"14,400"	0	0	"20,666"	"36,499"	"13,614"	0	459
Palo Alto Battlefield NHP	"84,361"	0	"168,718"	0	0	0	0	0	0	0	0
Paterson Great Falls NHP	"308,199"	0	"784,054"	0	0	0	0	0	0	0	0
Pea Ridge NMP	"121,163"	0	"242,324"	0	0	0	0	0	0	0	0
Pecos NHP	"40,650"	0	"51,715"	0	0	0	0	0	0	0	0
Pennsylvania Avenue NHS	"108,716"	0	"35,876"	0	0	0	0	0	0	0	0
Perry's Victory & Intl. Peace MEM	"84,769"	0	"69,992"	0	0	0	0	0	0	0	37
Petersburg NB	"208,473"	"366,461"	"221,076"	"91,618"	0	0	0	0	0	0	0
Petrified Forest NP	"627,757"	120	"1,732,841"	120	0	0	0	0	"1,401"	0	0
Petroglyph NM	"141,803"	0	"283,607"	0	0	0	0	0	0	0	0
Pictured Rocks NL	"781,190"	"1,850"	"3,994,428"	554	0	0	"16,669"	"6,217"	"25,429"	0	0
Pinnacles NP	"233,334"	0	"836,253"	0	0	0	0	0	0	0	0
Pipe Spring NM	"29,065"	404	"43,597"	900	0	0	0	0	0	0	0
Pipestone NM	"76,486"	0	"191,218"	0	0	0	0	0	0	0	0
Piscataway Park	"154,011"	0	"284,802"	0	0	0	0	0	0	0	0
Point Reyes NS	"2,456,669"	"25,788"	"12,514,637"	"25,788"	"11,053"	"3,026"	0	0	"41,451"	0	0
Port Chicago Naval Magazine NM	"1,086"	0	"2,172"	0	0	0	0	0	0	0	0
President W.J. Clinton Birthplace Home NHS	"10,177"	0	"10,177"	0	0	0	0	0	0	0	0
President's Park	"1,477,913"	0	"2,409,167"	0	0	0	0	0	0	0	0
Prince William Forest Park	"360,540"	480	"3,428,312"	960	0	"28,048"	"23,125"	"1,274"	245	0	"57,884"
Pu'uhonua o Honaunau NHP	"505,735"	0	"505,735"	0	0	0	0	0	0	0	0
Pu'ukohola Heiau NHS	"147,259"	"133,304"	"73,630"	"22,209"	0	0	0	0	0	0	0
Rainbow Bridge NM	"108,418"	0	"162,629"	0	0	0	0	0	0	0	0
Redwood NP	"445,000"	0	"1,731,930"	0	0	0	"3,363"	0	"4,769"	0	"2,230"
Richmond NBP	"224,014"	"150,286"	"425,755"	"37,572"	0	0	0	0	0	0	0
Rio Grande W&SR	399	0	"33,498"	0	0	0	0	0	"1,695"	0	0
River Raisin NBP	"238,813"	"11,976"	"477,621"	"1,198"	0	0	0	0	0	0	0
Rock Creek Park	"2,483,788"	"12,385,128"	"2,926,225"	"6,192,562"	0	0	0	0	0	0	0
Rocky Mountain NP	"4,437,215"	"8,750"	"30,464,697"	"26,250"	0	0	"124,179"	"57,627"	"45,194"	0	"13,088"
Roger Williams NMEM	"80,970"	"113,519"	"70,127"	"9,081"	0	0	0	0	0	0	0
Rosie The Riveter WWII Home Front	"60,927"	0	"182,781"	0	0	0	0	0	0	0	0
Ross Lake NRA	"759,656"	720	"2,632,156"	720	"7,871"	0	"29,855"	"11,688"	"27,827"	0	782
Russell Cave NM	"24,377"	0	"38,927"	0	0	0	0	0	0	0	0
Sagamore Hill NHS	"55,186"	0	"137,967"	0	0	0	0	0	0	0	0
